Cost,Title,Description,Location,Bedrooms,Bathrooms,Furnished,Space
"KSh 9,000,000",2bdrm Apartment in Kilimani for sale,"Located in Kilimani off Kindaruma road 
2 Bedroom Apartments of 85 sqm 
Amenities and...","Nairobi, Kilimani",2 bedrooms,2 bathrooms,Furnished,2023sqm
"KSh 60,000,000","5bdrm Townhouse/Terrace in Lavington, Maziwa for sale","Lavington - Hatheru Road. FOR SALE : Kshs.60,000,000 
 5 bedroomed (All ensuite)...","Nairobi, Lavington",3 bedrooms,2 bathrooms,Unfurnished,82sqm
"KSh 11,600,000",2bdrm Apartment in Kilimani for sale,Highly luxurious with update modern children play area .All rooms ensuite.Location is super.All...,"Nairobi, Kilimani",3 bedrooms,4 bathrooms,Unfurnished,2060sqm
"KSh 10,000,000",1bdrm Apartment in Lavington for Sale,"High end modern two tower apartment in lavington with a Turkish finishing.
OTHER FEATURES 
...","Nairobi, Lavington",1 bedroom,1 bathroom,Unfurnished,49sqm
"KSh 65,000,000","4bdrm Townhouse/Terrace in Chalbi Drive, Lavington for sale","Lavington newly build ultra modern spacious 4bedroom townhouse available for sale .
- High quality...","Nairobi, Lavington",4 bedrooms,5 bathrooms,Unfurnished,238sqm
"KSh 50,000,000","5bdrm Townhouse/Terrace in Lavington, Valley Arcade for Sale","Luxurious 5-bedroom townhouses for sale in lavington from 50m (hot deal! )
features
- large windows...","Nairobi, Lavington",2 bedrooms,3 bathrooms,Unfurnished,139sqm
"KSh 43,000,000","4bdrm Townhouse/Terrace in Lavington, Valley Arcade for Sale","STUNNING OWN COMPOUND TOWNHOUSE IN LAVINGTON
Welcome to your dream home! This stunning stand-alone...","Nairobi, Lavington",1 bedroom,1 bathroom,Unfurnished,67sqm
"KSh 25,000,000",4bdrm Bungalow in Kinoo for Sale,"This is a 4 bedrooms house sitting on a 100x100 quarter.
The house Has all the rooms master...","Kiambu, Kikuyu",4 bedrooms,2 bathrooms,Unfurnished,171sqm
"KSh 24,500,000",4bdrm Apartment in Kileleshwa for sale,"Amenities: 
Fully equipped gym
swimming pool
landscaped gardens
round the clock security
dedicated...","Nairobi, Kileleshwa",3 bedrooms,1 bathroom,Unfurnished,nan
"KSh 14,500,000",3bdrm Apartment in Kileleshwa for sale,"Newly built , spacious and well lit 3 Bedroom apartment in Kileleshwa -Lavington. 
Very calm, serene...","Nairobi, Kileleshwa",3 bedrooms,4 bathrooms,Unfurnished,288sqm
"KSh 12,500,000","2bdrm Apartment in Muthaiga Square, Nairobi Central for sale",Located in Muthaiga off Thika road. The Residency consists of 3 Residential Wings – 3 types of...,"Nairobi, Nairobi Central",1 bedroom,1 bathroom,Unfurnished,65sqm
"KSh 20,000,000",Furnished 3bdrm Villa in Malindi for Sale,"A 3 bedroom Villa near Malindi Golf Club in a condominium, 200 mtrs from Naivas Supermarket Malindi...","Kilifi, Malindi",4 bedrooms,5 bathrooms,Unfurnished,248sqm
"KSh 27,000,000",3bdrm Apartment in Lavington for sale,An amazing 3 bedroom apartment in the desirable Lavington area.It has some amazing facilities like a...,"Nairobi, Lavington",2 bedrooms,2 bathrooms,Unfurnished,83sqm
"KSh 22,500,000",3bdrm Apartment in Raphta Road Area for Sale,"3 BR all ensuite for sale
Walk in wardrobes
Bathtub in master bwdroom
Spacious sitting and separate...","Nairobi, Westlands",10 bedrooms,5 bathrooms,Semi-Furnished,2000sqm
"KSh 11,450,000",2bdrm Apartment in Kilimani for sale,Modern high luxurious latest in market.All needed and you need facilities provided to maximum.A walk...,"Nairobi, Kilimani",4 bedrooms,4 bathrooms,Unfurnished,450sqm
"KSh 23,000,000",3bdrm Apartment in Kileleshwa for Sale,"Located in upscale kileleshwa 
its has 66 three bedroom apartments 
3 bedroom with dsq of 2200...","Nairobi, Kileleshwa",4 bedrooms,5 bathrooms,Unfurnished,270sqm
"KSh 31,000,000",5bdrm Apartment in Kileleshwa for Sale,"Exclusively designed 5 bedroom all ensuite apartments with sq
* expansive lounge opening to a wide...","Nairobi, Kileleshwa",2 bedrooms,2 bathrooms,Unfurnished,80sqm
"KSh 30,000,000",in Loresho for sale,Stunning secure 4 bedroom maisonette that boasts gorgeous dining area separate from lounge that...,"Nairobi, Westlands",2 bedrooms,2 bathrooms,Unfurnished,118sqm
"KSh 50,000,000",5bdrm Apartment in Lavington for Sale,"Very spacious and modern built 5BR apartment with a DSQ
The Luxurious Apartments features expansive,...","Nairobi, Lavington",5 bedrooms,3 bathrooms,Unfurnished,500sqm
"KSh 7,200,000","2bdrm Apartment in Kilimani, Hurlingham for sale",This 16 storey block development comprising of spacious one (1) bedroom and two (2) bedrooms...,"Nairobi, Kilimani",3 bedrooms,4 bathrooms,Semi-Furnished,167sqm
"KSh 28,000,000",3bdrm Apartment in Kileleshwa for Sale,Beautiful Apartment to call a home with lovely view of Kinya High School. It's a three bedroom plus...,"Nairobi, Kileleshwa",1 bedroom,1 bathroom,Unfurnished,84sqm
"KSh 25,500,000",4bdrm Apartment in Lavington for sale,"Most spacious 4 & 5 bedroom apartments for sale in lavington 
spacious 4 and 5 bedrooms 
all...","Nairobi, Lavington",2 bedrooms,2 bathrooms,Unfurnished,90sqm
"KSh 9,500,000",Spacious Two Bedroom Kilimani,A spacious two bedroom house on the 12 th floor in kilimani on sale with a lift and swimming pool...,"Nairobi, Kilimani",2 bedrooms,2 bathrooms,Unfurnished,107sqm
"KSh 11,500,000",3bdrm Apartment in Kileleshwa for Sale,"3 Bedroom apartments in Kileleshwa 
Construction completion : June 2025 
Details 
3 Br of 130 sqm @...","Nairobi, Kileleshwa",5 bedrooms,5 bathrooms,Unfurnished,600sqm
"KSh 16,000,000","3bdrm Apartment in Zanzi, Kilimani for sale","3bedroom with sq
spacious sitting room 
Good dinning 
elevators available
borehole
gym
rent 120k","Nairobi, Kilimani",3 bedrooms,4 bathrooms,Unfurnished,190sqm
"KSh 23,000,000",Furnished 4bdrm Penthouse in Mkomani Nyali for Sale,"PRICE.DROP ALERT.
A REMINISCENT OF BEAUTIFUL 4BEDRM PENTA HOUSE MKOMANI NYALI.KES.23M(230,000...","Mombasa, Nyali",4 bedrooms,4 bathrooms,Semi-Furnished,204sqm
"KSh 9,500,000",2bdrm Apartment in Kilimani for Sale,"Executive three-bedroom apartments plus Dsq, all ensuite
solar heated swimming pool
gym.
bore...","Nairobi, Kilimani",4 bedrooms,4 bathrooms,Unfurnished,300sqm
"KSh 99,000,000",5bdrm Villa in Hardy for Sale,"Karen new 4 & 5 bedroom all ensuite villa + 2 dsq on 0.5ac, for sale 90m.
 this is a gated community...","Nairobi, Karen",2 bedrooms,2 bathrooms,Unfurnished,144sqm
"KSh 6,800,000",1bdrm Apartment in Kileleshwa for sale,"1 bedroom promax apartments
status ; construction on going till 2026 
book now : 20 % balance...","Nairobi, Kileleshwa",2 bedrooms,2 bathrooms,Semi-Furnished,100sqm
"KSh 11,000,000",2bdrm Apartment in Kilimani for sale,"2-bedroom master en-suite (110 sqm) with two balconies 
Located in Kilimani / Lavington Riara Road...","Nairobi, Kilimani",3 bedrooms,3 bathrooms,Unfurnished,164sqm
"KSh 17,000,000",4bdrm Maisonette in Syokimau for sale,Maisonette 4bdrm Dsq gated controlled estate with security guards syokimau,"Machakos, Syokimau",2 bedrooms,2 bathrooms,Unfurnished,83sqm
"KSh 6,800,000","3bdrm Bungalow in Kamangu Ng'Amba Area, Kabete for sale",This is a 3 bedroom bungalow house which is 90% complete in a gated community set-up with perimeter...,"Kiambu, Kabete",3 bedrooms,2 bathrooms,Unfurnished,125sqm
"KSh 21,000,000",3bdrm Apartment in Kileleshwa for Sale,"3 BR all ensuite with a DSQ ksh 21m
Only 12 houses in the compound, avoiding overcrowded places
In...","Nairobi, Kileleshwa",3 bedrooms,3 bathrooms,Unfurnished,3100sqm
"KSh 15,000,000",Furnished 3bdrm Apartment in Lavington for Sale,"Spacious, executive,with high end durable finishes.All modern amenities included.","Nairobi, Lavington",2 bedrooms,2 bathrooms,Unfurnished,90sqm
"KSh 18,500,000",3bdrm Apartment in Lavington for Sale,"Salient highlights
expected completion: End of 2023
* only 112 units 
* 3 bedroom all en-suite with...","Nairobi, Lavington",3 bedrooms,4 bathrooms,Unfurnished,145sqm
"KSh 7,000,000",1bdrm Apartment in Kileleshwa for sale,This newly built 1&2bedroom apartment designed with high quality finishes and located in a...,"Nairobi, Kileleshwa",4 bedrooms,5 bathrooms,Semi-Furnished,232sqm
"KSh 22,835,000","3bdrm Apartment in the Marquis, Kileleshwa for Sale","The Marquis Apartments For Sale In Kileleshwa Nairobi. Consists of 2 bedrooms, innovative concept of...","Nairobi, Kileleshwa",3 bedrooms,2 bathrooms,Unfurnished,120sqm
"KSh 12,600,000",2bdrm Apartment in Kilimani for sale,"Fiber internet ready
video access control system
24/7 cctv security surveillance
24/7 security...","Nairobi, Kilimani",1 bedroom,1 bathroom,Unfurnished,80sqm
"KSh 7,500,000",1bdrm Apartment in Kileleshwa for sale,"HIGHLIGHTS
* One Bedroom Modern Apartment
* Plinth Area: 73sqm
* Status: Under construction
*...","Nairobi, Kileleshwa",1 bedroom,1 bathroom,Furnished,70sqm
"KSh 6,000,000",1bdrm Apartment in Kilimani for sale,A presale project in kilimani .A state of modern need and desire.Equiped with modern facilities and...,"Nairobi, Kilimani",3 bedrooms,3 bathrooms,Unfurnished,176sqm
"KSh 22,000,000","2bdrm Apartment in Nyeri Road, Kileleshwa for sale","Kileleshwa ultra modern newly built spacious 2, 3, 4 and 4/5bedrooms (duplex) apartment for sale...","Nairobi, Kileleshwa",3 bedrooms,2 bathrooms,Unfurnished,130sqm
"KSh 30,000,000",Furnished 2bdrm Villa in Watamu for sale,"-At Dongokundu in Watamu, 800mtrs from Garoda Beach and 1km from Lichthouse.
-In a one and a half...","Kilifi, Kilifi North",3 bedrooms,4 bathrooms,Unfurnished,200sqm
"KSh 24,000,000",3bdrm Apartment in Lavington for Sale,Family friendly Nice 3 bedroom plus dsq two bedrooms ensuit in a compound of only 20 houses located...,"Nairobi, Lavington",2 bedrooms,2 bathrooms,Unfurnished,120sqm
"KSh 7,500,000",2bdrm Apartment in Hurlingham for Sale,"KEY NOTES
* 2 Bedrooms, 2 baths
* Plinth area of 80sqm
* Open plan Kitchen
* Laundry area
* Spacious...","Nairobi, Kilimani",4 bedrooms,5 bathrooms,Unfurnished,257sqm
"KSh 12,500,000",2bdrm Apartment in Kileleshwa for sale,"2 Bedroom apartment with a Dsq for sale in Kileleshwa along Othaya Road.
The location is ideal with...","Nairobi, Kileleshwa",1 bedroom,1 bathroom,Unfurnished,51sqm
"KSh 65,000,000","5bdrm Townhouse in Lavington Estate, Muthangari for Sale","description
a unique modern stylish town house located in the leafy secure area of lavington,...","Nairobi, Lavington",4 bedrooms,4 bathrooms,Unfurnished,300sqm
"KSh 6,000,000","1bdrm Apartment in Kilimani, Hurlingham for sale","Luxuriant 1 & 2 bedroom apartment for sale in kilimani from kes. 6m - 9.7m (hot deal! )
located at...","Nairobi, Kilimani",4 bedrooms,5 bathrooms,Semi-Furnished,232sqm
"KSh 5,000,000","1bdrm Apartment in Lavington, Valley Arcade for Sale","Exquisite 1-bedroom apartment for sale in lavington from kes.5m (limited offer)
experience the state...","Nairobi, Lavington",3 bedrooms,4 bathrooms,Unfurnished,202sqm
"KSh 6,900,000",1bdrm Apartment in Kilimani for sale,This is a beautifully constructed property located in the desired kilimani area.It is in close...,"Nairobi, Kilimani",3 bedrooms,4 bathrooms,Unfurnished,156sqm
"KSh 29,900,000",4bdrm Apartment in Kilimani Estate for sale,Purchase these spacious and magnificent 3 bedroom 7 blocks apartment complex conveniently located...,"Nairobi, Kilimani",2 bedrooms,2 bathrooms,Unfurnished,130sqm
"KSh 80,000,000",10bdrm Apartment in Portreitz for sale,"Located at Portreitz Mombasa.
 Land size 0.75 acres
 Three storey building
Currently occupied as...","Mombasa, Chaani",1 bedroom,1 bathroom,Furnished,48sqm
"KSh 13,000,000",Furnished 2bdrm Apartment in Malindi for sale,"2 bedroom apartment at Green Malindi Apartments in Malindi, 200 mtrs from Malindi Naivas...","Kilifi, Malindi",1 bedroom,1 bathroom,Unfurnished,44sqm
"KSh 14,000,005",3bdrm Apartment in Lavington for sale,"#lavington 3 bedroom #apartment for #sale Price 14.5m
Features 
- Two ensuite bedroom
- Spacious...","Nairobi, Lavington",3 bedrooms,4 bathrooms,Unfurnished,110sqm
"KSh 21,000,000",3bdrm Apartment in Lavington for sale,This is an exquisite apartment three bedroom plus dsq located in a quiet neighborhood in lavington...,"Nairobi, Lavington",2 bedrooms,2 bathrooms,Unfurnished,76sqm
"KSh 6,750,000",1bdrm Apartment in Westlands for Sale,"MARINA BAY SQUARE is located in the heart of Westland, on the junction of David Oseli and Sports...","Nairobi, Westlands",2 bedrooms,1 bathroom,Unfurnished,nan
"KSh 20,000,000",4bdrm Apartment in Kileleshwa for sale,"4bedrooms + dsq apartments
status ; construction on going till 2026 
book now : 20 % balance through...","Nairobi, Kileleshwa",3 bedrooms,3 bathrooms,Unfurnished,130sqm
"KSh 16,800,000",2bdrm Apartment in Hurlingham for Sale,"Highlights
* This is Two bedrooms, all ensuite Apartments
* Unit size is 139sqm
* Status: Under...","Nairobi, Kilimani",3 bedrooms,2 bathrooms,Unfurnished,115sqm
"KSh 7,400,000",1bdrm Apartment in Raphta Road Area for sale,"Standard 1Bedroom of 67 sqm 
Completion November 2026
3 Years payment plan. 20 % Deposit 
Amenities...","Nairobi, Westlands",2 bedrooms,2 bathrooms,Unfurnished,100sqm
"KSh 5,500,000","1bdrm Apartment in Valley Heights, Muthangari for Sale","Eatures and amenities:
fully equipped gym
wash area
inbuilt wardrobes
kitchen fitted with...","Nairobi, Lavington",3 bedrooms,3 bathrooms,Unfurnished,135sqm
"KSh 15,000,000","4bdrm Apartment in Lavington, Kilimani for Sale",This newly built 4 bedroom+dsq apartment build with high quality finishes and located in a...,"Nairobi, Kilimani",1 bedroom,1 bathroom,Unfurnished,55sqm
"KSh 20,000,000",3bdrm Apartment in Hurlingham for Sale,3 bedroom apartment + sq species for for Kshs 20M/= near Yaya Centre,"Nairobi, Kilimani",3 bedrooms,3 bathrooms,Unfurnished,154sqm
"KSh 33,000,000",3bdrm Apartment in Westlands for sale,This amazing 3 bedroom apartment is the definition of prestige and luxury and has been designed to...,"Nairobi, Westlands",3 bedrooms,3 bathrooms,Unfurnished,125sqm
"KSh 6,200,000",1bdrm Apartment in Lavington for sale,"Exquisite One bedroom apartment for sale, Located in Lavington.
■State of the art, with high end...","Nairobi, Lavington",2 bedrooms,2 bathrooms,Unfurnished,75sqm
"KSh 37,000,000",4bdrm Duplex in Valley Arcade for sale,"4 bedroom plus Dsq Duplex apartments
Located in Lavington near Valley arcade 
48 in number
Prices:...","Nairobi, Lavington",4 bedrooms,3 bathrooms,Unfurnished,3800sqm
"KSh 12,500,000",2bdrm Apartment in Raphta Road Area for sale,It is a comprehensive residential development in the Nairobi’s high end suburb of Westlands (Off...,"Nairobi, Westlands",3 bedrooms,4 bathrooms,Semi-Furnished,nan
"KSh 170,000,000",10bdrm Maisonette in Karen for sale,"10 bedroom Mansion in Karen near Giraffe Centre, close to Hardy Shopping Centre, half-acre -...","Nairobi, Karen",3 bedrooms,4 bathrooms,Semi-Furnished,180sqm
"KSh 19,000,000",4bdrm Maisonette in Elgon View for sale,"4 Bedroom houses for sale in Eldoret, near Eldoret Golf club
Spacious lounge area
. Dining area
....","Uasin Gishu, Eldoret CBD",2 bedrooms,2 bathrooms,Unfurnished,184sqm
"KSh 35,000,000",4bdrm Townhouse/Terrace in Langata Estate for Sale,"4 bedroom townhouse all ensuite + dsq for sale in langata, (new) 35m, negotiable
features :
in gated...","Nairobi, Langata",4 bedrooms,4 bathrooms,Unfurnished,298sqm
"KSh 10,500,000",in Ngong for sale,"3 bedroom bungalow in Ngong Matasia Memusi road. Master ensuite. Newly built, very spacious, in a...","Kajiado, Ngong",1 bedroom,2 bathrooms,Unfurnished,55sqm
"KSh 9,000,000",2bdrm Apartment in Kilimani for sale,"2 Bedroom apartment for sale in Kilimani
Located off Marcus Garvey road, it has a quick access to...","Nairobi, Kilimani",3 bedrooms,3 bathrooms,Unfurnished,100sqm
"KSh 11,500,000",2bdrm Apartment in Kileleshwa for sale,"#New & #Executive 1 & 2 Bedroom Apartments 
LOCATION: #Kileleshwa area 
Call/Whatsapp 
PRICE GUIDE...","Nairobi, Kileleshwa",2 bedrooms,2 bathrooms,Unfurnished,88sqm
"KSh 10,500,000",5bdrm Bungalow in Gitaru Mutego for Sale,A three bedroom house for sale in a prime area .All social amenities are readily available,"Kiambu, Gitaru",1 bedroom,1 bathroom,Unfurnished,70sqm
"KSh 18,500,000","3bdrm Apartment in Gitanga Road, Lavington for Sale",Lavington newly built spacious 3 and 4bedrooms plus DSQ all en-suite apartments for sale/rent. High...,"Nairobi, Lavington",1 bedroom,1 bathroom,Unfurnished,75sqm
"KSh 8,000,000",1bdrm Apartment in Kilimani for sale,New 1 bedroom in the centre of Kilimani for sale,"Nairobi, Kilimani",3 bedrooms,4 bathrooms,Semi-Furnished,226sqm
"KSh 8,000,000","2bdrm Apartment in Lavington, Valley Arcade for Sale","A magnificent and unique 1 & 2 bedroom apartments for sale starting from 6.5M.
this residency is a...","Nairobi, Lavington",4 bedrooms,5 bathrooms,Furnished,4000sqm
"KSh 16,000,000",3bdrm Apartment in Kileleshwa for Sale,"Style meets sophistication, where living spaces are carefully synchronized to encaspulate modern...","Nairobi, Kileleshwa",5 bedrooms,5 bathrooms,Unfurnished,2500sqm
"KSh 13,500,000",2bdrm Apartment in Kilimani for Sale,The Residency offers luxury living within the city. Offering luxury apartments that are centrally...,"Nairobi, Kilimani",3 bedrooms,4 bathrooms,Unfurnished,125sqm
"KSh 55,000,000",5bdrm Townhouse/Terrace in Lavington for Sale,Modern luxurious five bedroom townhouse in a gated community excellently located in Lavington green...,"Nairobi, Lavington",3 bedrooms,2 bathrooms,Unfurnished,120sqm
"KSh 18,500,000",3bdrm Apartment in Valley Arcade for sale,"Spacious, modern high quality finish and comfy 3 Bedroom plus SQ family house. Located a few meters...","Nairobi, Lavington",4 bedrooms,5 bathrooms,Unfurnished,257sqm
"KSh 20,000,000",4bdrm Apartment in Lavington for Sale,"* newly built stylish 4 bedroom apartments
* 3 ensuite bedrooms
* self contained servants quarter 
*...","Nairobi, Lavington",3 bedrooms,2 bathrooms,Unfurnished,180sqm
"KSh 18,000,000",4bdrm Apartment in Kileleshwa for sale,"3 bedroom apartment plus sq 
 Spacious living room/Dining area 
 Crossed plan Kitchen
 All Master...","Nairobi, Kileleshwa",3 bedrooms,3 bathrooms,Unfurnished,110sqm
"KSh 11,500,000","2bdrm Apartment in Diamond Ivy, Kileleshwa for sale","Ideally located near Kileleshwa, along Mandera road. The development enjoys a serene environment,...","Nairobi, Kileleshwa",2 bedrooms,3 bathrooms,Unfurnished,125sqm
"KSh 9,500,000",2bdrm Apartment in Hurlingham for Sale,"You'll love these gorgeous, 2 bedrooms apartments 
located a stone's throw away from yaya, ad life...","Nairobi, Kilimani",4 bedrooms,4 bathrooms,Unfurnished,225sqm
"KSh 11,000,000","2bdrm Apartment in Kangundo Road, Kileleshwa for Sale","Executive 2bedroom in killeleshwa with Turkish finishing.
AMENITIES:
Heated Swimming pool 
Fully...","Nairobi, Kileleshwa",2 bedrooms,2 bathrooms,Unfurnished,110sqm
"KSh 16,800,000",3bdrm Apartment in Kilimani for Sale,"Luxurious yet affordable 3 bedroom apartments 
Located in Kilimani off Ring Road 
164 square...","Nairobi, Kilimani",3 bedrooms,4 bathrooms,Unfurnished,260sqm
"KSh 11,250,000","2bdrm Apartment in Westlands, Raphta Road Area for sale","Exqusite modern 2-bedroom apartment for sale in westlands from kes. 11.25m (90% sold out)
located at...","Nairobi, Westlands",4 bedrooms,5 bathrooms,Unfurnished,225sqm
"KSh 12,500,000",3bdrm Apartment in Hurlingham for sale,"Opulent 2 and 3 bedroom apartments for sale in kilimani from 2bedroom – 8.8m, 9.8m 3bedroom – 12.5m,...","Nairobi, Kilimani",3 bedrooms,3 bathrooms,Unfurnished,231sqm
"KSh 34,000,000",3bdrm Apartment in Raphta Road Area for sale,"Exquisite 3 bedroom + dsq apartments for sale in riverside
Apartment features and amenities:
• heat...","Nairobi, Westlands",3 bedrooms,2 bathrooms,Unfurnished,121sqm
"KSh 11,250,000",2bdrm Apartment in Raphta Road Area for sale,"Project Description and Pricing
The development comprises of 2 blocks. Offering 104 units of 1...","Nairobi, Westlands",1 bedroom,1 bathroom,Unfurnished,100sqm
"KSh 20,100,000",3bdrm Apartment in Kileleshwa for sale,"Exquisite 3 bedroom apartment for sale, Master Ensuite, with a Dsq. Its Located in Kileleshwa....","Nairobi, Kileleshwa",4 bedrooms,4 bathrooms,Unfurnished,3078sqm
"KSh 40,000,000",4bdrm Duplex in Lavington for sale,"New 4 Bedroom with sq Apartments for sale in lavington
Sale from Ksh. 40M
FEATURES
Fitted...","Nairobi, Lavington",4 bedrooms,4 bathrooms,Unfurnished,272sqm
"KSh 7,500,000",3bdrm Apartment in Mtwapa Gardens for sale,Three bedroom master ensuite,"Kilifi, Mtwapa",3 bedrooms,2 bathrooms,Furnished,117sqm
"KSh 7,300,000","1bdrm Condo in 1,2,3 Br Hotel, South C for Sale",Enzi Heights is a rare opportunity to reside in one of the most exclusive addresses in Nairobi. This...,"Nairobi, South C",4 bedrooms,4 bathrooms,Unfurnished,330sqm
"KSh 11,000,000",Furnished 1bdrm Apartment in Milimani for sale,"Fully furnished Hotel apartments for sale in Upper hill- under construction 
has elegant lounge and...","Nairobi, Upperhill",3 bedrooms,2 bathrooms,Unfurnished,120sqm
"KSh 17,500,000","3bdrm Apartment in Kirichwa Road, Kilimani for sale","Kilimani executive spacious 3bedroom apartment for rent.
- Spacious living room
- Dining room
-...","Nairobi, Kilimani",4 bedrooms,3 bathrooms,Unfurnished,185sqm
"KSh 12,500,000",3bdrm Apartment in Kileleshwa for sale,"Three Bedroom Features 
Area 130 sqm 
Spacious lounge 
Extended Balcony in the living area
Well...","Nairobi, Kileleshwa",2 bedrooms,2 bathrooms,Unfurnished,87sqm
"KSh 25,000,000",3bdrm Apartment in Lavington Mbaazi for Sale,"3 BR with a DSQ, for sale, two ensuite.
Big sitting and dining area.
Spacious kitchen with ample...","Nairobi, Lavington",4 bedrooms,4 bathrooms,Unfurnished,360sqm
"KSh 10,000,000","2bdrm Apartment in Kileshwa, Kileleshwa for sale",This newly built 2 bedroom apartment with high quality finishes and located in a prestigious...,"Nairobi, Kileleshwa",1 bedroom,1 bathroom,Unfurnished,65sqm
"KSh 23,000,000",4bdrm Apartment in Lavington for Sale,"Features
* Quality ceramic tiles in wet areas
* Defined large dinning area
* Living room with...","Nairobi, Lavington",3 bedrooms,4 bathrooms,Unfurnished,150sqm
"KSh 23,000,000",4bdrm Apartment in Lavington for Sale,"Main highlights 
* construction started in February 2022, and expected to be ready for occupation by...","Nairobi, Lavington",1 bedroom,2 bathrooms,Furnished,100sqm
"KSh 5,400,000",1bdrm Apartment in Kileleshwa for sale,"1 Bedroom apartment for sale in Kileleshwa off Ole Nguruone Road
Nestled in the fastest growing area...","Nairobi, Kileleshwa",3 bedrooms,3 bathrooms,Unfurnished,160sqm
"KSh 22,655,000","4bdrm Apartment in Melody Gardens, Lavington for sale","Avery unique 3bedroomed apartment ,with already tenant in monthly income 160k ...","Nairobi, Lavington",4 bedrooms,5 bathrooms,Unfurnished,260sqm
"KSh 20,000,000",4bdrm Apartment in Lavington for Sale,"Property description 
* 4 bedrooms all ensuite
* self contained servant's quarter
* quality tiling...","Nairobi, Lavington",2 bedrooms,2 bathrooms,Unfurnished,95sqm
"KSh 18,500,000",3bdrm Apartment in Kileleshwa for sale,"Status ; construction on going till 2026 
book now : 20 % balance through installments till 2026 ( 2...","Nairobi, Kileleshwa",1 bedroom,1 bathroom,Unfurnished,51sqm
"KSh 20,000,000",3bdrm Apartment in Kileleshwa for sale,A state of the art 3 bedroom apartment located in Kileleshwa.It is only 10 minutes drive to the CBD...,"Nairobi, Kileleshwa",2 bedrooms,1 bathroom,Unfurnished,nan
"KSh 13,400,000",2bdrm Apartment in Raphta Road Area for sale,"Exprience the epitome of luxury in this 2-bedroom apartment with dsq located in westalnds
features...","Nairobi, Westlands",1 bedroom,1 bathroom,Unfurnished,65sqm
"KSh 5,200,000","Furnished 1bdrm Apartment in Kilimani, Kileleshwa for Sale","Lavish 1,2&3-bedroom apartments for sale in Kileleshwa from ksh. 5.2 m (starting price)
special...","Nairobi, Kileleshwa",2 bedrooms,2 bathrooms,Unfurnished,107sqm
"KSh 4,500,000",1bdrm Apartment in Kileleshwa for sale,Welcome to the heart of urban living! Our studio apartment offers the perfect blend of style and...,"Nairobi, Kileleshwa",2 bedrooms,2 bathrooms,Semi-Furnished,nan
"KSh 15,000,000",3bdrm Apartment in New Kitisuru for sale,"2&3 BR apartments for sale at New Kitisuru.
2BR ksh 12M rent ksh 85k
3BR ksh 15M rent ksh...","Nairobi, Kitisuru",2 bedrooms,2 bathrooms,Unfurnished,106sqm
"KSh 7,800,000",2bdrm Apartment in Lavington for sale,"Most affordable 2 Bedroom apartment in Lavington. Spacious master ensuite, second bedroom sharing...","Nairobi, Lavington",3 bedrooms,3 bathrooms,Unfurnished,118sqm
"KSh 6,800,000",2bdrm Apartment in Nyayo High Rise for sale,Classic and modern two bedroom apartment located in Highrise Estate. The apartment provides ample...,"Nairobi, Mbagathi Way",3 bedrooms,3 bathrooms,Unfurnished,130sqm
"KSh 8,000,000",3bdrm Bungalow in Katani for sale,3br all ensuite luxury homes located about 7km off Mombasa road at katani centre in a gated estate...,"Machakos, Syokimau",1 bedroom,1 bathroom,Furnished,45sqm
"KSh 10,500,000",3bdrm Apartment in Kilimani for Sale,"Main Highlights
* Exclusively designed three bedrooms apartment
* Master ensuite apartment 
* Large...","Nairobi, Kilimani",2 bedrooms,2 bathrooms,Unfurnished,130sqm
"KSh 9,800,000",2bdrm Apartment in Kilimani for sale,"2 bedroom apartment for sale in kilimani 
2 bedroom ensuite [90 sqm] – kes. 9.8m
features and...","Nairobi, Kilimani",3 bedrooms,2 bathrooms,Furnished,1800sqm
"KSh 12,500,000","3bdrm Apartment in Kilimani, Hurlingham for sale",This newly built 3bedrooms apartment with dsq all ensuite and located in a prestigious residential...,"Nairobi, Kilimani",3 bedrooms,2 bathrooms,Unfurnished,100sqm
"KSh 5,600,000",1bdrm Apartment in Lavington for sale,"Executive 1bedroom on sale in Lavington .
Amenities
Lift.
Gym.
Borehole.
Restaurant.
Satellite...","Nairobi, Lavington",5 bedrooms,5 bathrooms,Unfurnished,2020sqm
"KSh 19,000,000",3bdrm Apartment in Riverside Drive for Sale,"Located in Riverside Drive
3 Bedroom plus dsq apartment (154 sqm ) 
2 bedrooms are en-suite...","Nairobi, Lavington",10 bedrooms,5 bathrooms,Furnished,523sqm
"KSh 10,500,000",3bdrm Apartment in Kilimani for sale,"Very Spacious 3 Bedroom apartment for sale in Kilimani, few meters from Yaya centre. 
All rooms very...","Nairobi, Kilimani",2 bedrooms,2 bathrooms,Unfurnished,100sqm
"KSh 7,000,000",2bdrm Apartment in Pangani for sale,"Modern with high end finishes .gym,pool,borehole,backup generator and internet","Nairobi, Pangani",1 bedroom,1 bathroom,Unfurnished,49sqm
"KSh 18,000,000",4bdrm Apartment in Parklands for Sale,This old school apartment is available in parklands for sale is four bedroom two ensuite on 3rd...,"Nairobi, Parklands/Highridge",2 bedrooms,2 bathrooms,Unfurnished,91sqm
"KSh 18,300,000",3bdrm Apartment in Kileleshwa for Sale,Turkish finished 3bedroom apartments with a servant quater located in the heart of Kileleshwa....,"Nairobi, Kileleshwa",3 bedrooms,5 bathrooms,Unfurnished,204sqm
