Cost,Title,Description,Location,Bedrooms,Bathrooms,Furnished,Space
"KSh 9,500,000",4bdrm Bungalow in Nakuru Town West for sale,4 bedrooms bungalow for sale at Kiamunyi sitting on 1/4 of an acre of land. 200 meters from...,"Nakuru, Nakuru Town West",4 bedrooms,2 bathrooms,Unfurnished,1011sqm
"KSh 50,500,000",6bdrm Maisonette in Nakuru Town East for sale,6 bedrooms newly built mansionatte sitting on 1 acre of land at Barnabas 500 meters from Nku-Nrb...,"Nakuru, Nakuru Town East",6 bedrooms,3 bathrooms,Unfurnished,4046sqm
"KSh 24,500,000","4bdrm Maisonette in Membley Estate, for sale","Own a home at membley estate located in the leafy, serene suburbs of ruiru , county.
3Km from ruiru...","Kiambu, Ruiru",4 bedrooms,4 bathrooms,Semi-Furnished,260sqm
"KSh 8,500,000",1bdrm Apartment in Kilimani for sale,"Exquisite and Spacious 1bedroom Apartment for Sale in kilimani near Yaya Centre 
Elevate your...","Nairobi, Kilimani",1 bedroom,1 bathroom,Unfurnished,70sqm
"KSh 11,500,000",3bdrm Bungalow in Thogoto for sale,"Modern west accessible roof top
Sleek finishes 
Mahogany interior doors
Sunken lounge
Large windows...","Kiambu, Kikuyu",3 bedrooms,4 bathrooms,Unfurnished,160sqm
"KSh 11,000,000",3bdrm Apartment in Kileleshwa for sale,"3 bedroom apartment for sale in kileleshwa
11m
Lift
Borehole
Backup
Kids play area
Gym","Nairobi, Kileleshwa",3 bedrooms,3 bathrooms,Unfurnished,150sqm
"KSh 30,500,000",5bdrm Apartment in Valley Arcade for Sale,"Spacious modern 5 bedroom plus
DSQ ALL ENSUITE apartment for #sale in #lavington with Swimming...","Nairobi, Lavington",5 bedrooms,5 bathrooms,Unfurnished,320sqm
"KSh 8,500,000",2bdrm Apartment in Kilimani for sale,"Kilimani 
Spacious modern newly built 2 bedroom apartment for sale in Kilimani 
Fully equipped gym...","Nairobi, Kilimani",2 bedrooms,2 bathrooms,Unfurnished,100sqm
"KSh 7,500,000",1bdrm Apartment in Kileleshwa for sale,"BOOK WITH ONLY 30%
This new project is located in the serene area of kileleshwa consisting of 1 and...","Nairobi, Kileleshwa",1 bedroom,1 bathroom,Unfurnished,79sqm
"KSh 160,000,000","7bdrm Villa in Karen, Nairobi for sale",Welcome to this spectacular 7-bedroom all ensuite house in the prestigious Karen neighborhood. With...,Nairobi,7 bedrooms,8 bathrooms,Unfurnished,900sqm
